_id,zone_id,humidity,temperature,soil_moisture,soil_moisture_10cm,soil_moisture_30cm,soil_moisture_60cm,light,wind_speed,rainfall,rainfall_intensity,created_at
69596782434e4378b220c0eb,zone-1,40.1,20.1,64.0,64.0,69.6,74.8,23.0,11.0,False,none,2026-01-03T19:01:22.941000
69596788434e4378b220c0ec,zone-1,42.3,20.7,63.5,63.5,69.3,74.6,36.0,7.4,False,none,2026-01-03T19:01:28.079000
6959678d434e4378b220c0ed,zone-1,42.3,20.1,62.9,62.9,69.0,74.3,14.0,8.1,False,none,2026-01-03T19:01:33.109000
69596792434e4378b220c0ee,zone-1,46.4,19.3,62.3,62.3,68.7,74.2,33.0,6.6,False,none,2026-01-03T19:01:38.123000
69596797434e4378b220c0ef,zone-1,39.1,20.4,61.4,61.4,68.3,73.9,40.0,11.7,False,none,2026-01-03T19:01:43.159000
695d9af1199cedbdf4c19dae,zone-1,45.1,19.6,62.1,62.1,68.7,74.1,18.0,4.6,False,none,2026-01-06T23:29:53.286000
695d9af6199cedbdf4c19daf,zone-1,44.7,22.3,61.3,61.3,68.2,73.8,17.0,12.2,False,none,2026-01-06T23:29:58.408000
695d9afb199cedbdf4c19db0,zone-1,38.4,25.5,60.4,60.4,67.7,73.5,450.0,8.2,False,none,2026-01-06T23:30:03.446000
695d9b00199cedbdf4c19db1,zone-1,44.2,24.7,57.8,57.8,66.8,72.8,17996.0,7.2,False,none,2026-01-06T23:30:08.508000
695d9b05199cedbdf4c19db2,zone-1,40.0,28.7,54.7,54.7,65.1,71.5,36289.0,3.1,False,none,2026-01-06T23:30:13.566000
695d9b0a199cedbdf4c19db3,zone-1,54.9,28.7,49.2,49.2,61.8,69.7,62061.0,11.0,False,none,2026-01-06T23:30:18.618000
695d9b0f199cedbdf4c19db4,zone-1,54.0,32.0,42.3,42.3,59.2,68.0,57099.0,7.1,False,none,2026-01-06T23:30:23.667000
695d9b14199cedbdf4c19db5,zone-1,53.3,32.0,33.5,33.5,55.2,65.8,77941.0,9.9,False,none,2026-01-06T23:30:28.730000
695d9b19199cedbdf4c19db6,zone-1,51.7,36.9,23.2,23.2,50.0,63.2,90470.0,12.7,False,none,2026-01-06T23:30:33.778000
695d9b1e199cedbdf4c19db7,zone-1,44.2,35.0,15.0,15.0,46.4,60.4,89429.0,12.0,False,none,2026-01-06T23:30:38.826000
695d9b23199cedbdf4c19db8,zone-1,51.0,36.6,15.0,15.0,43.2,58.4,75009.0,6.0,False,none,2026-01-06T23:30:43.885000
695d9b28199cedbdf4c19db9,zone-1,45.8,35.2,15.0,15.0,40.5,56.7,63697.0,9.1,False,none,2026-01-06T23:30:48.944000
695d9b2e199cedbdf4c19dba,zone-1,40.9,34.5,15.0,15.0,38.6,55.3,32752.0,3.4,False,none,2026-01-06T23:30:54
695d9b33199cedbdf4c19dbb,zone-1,41.6,34.4,15.0,15.0,36.8,54.4,23701.0,5.3,False,none,2026-01-06T23:30:59.031000
695d9b38199cedbdf4c19dbc,zone-1,51.3,31.5,15.0,15.0,36.1,53.9,450.0,8.6,False,none,2026-01-06T23:31:04.067000
695d9b3d199cedbdf4c19dbd,zone-1,49.6,28.5,15.0,15.0,35.5,53.6,40.0,2.8,False,none,2026-01-06T23:31:09.128000
695d9b42199cedbdf4c19dbe,zone-1,42.9,27.1,15.0,15.0,35.0,53.2,31.0,9.1,False,none,2026-01-06T23:31:14.188000
695d9b47199cedbdf4c19dbf,zone-1,39.0,25.0,15.0,15.0,34.5,52.9,40.0,4.8,False,none,2026-01-06T23:31:19.209000
695d9b4c199cedbdf4c19dc0,zone-1,36.7,25.0,15.0,15.0,34.0,52.7,18.0,4.9,False,none,2026-01-06T23:31:24.232000
695d9b51199cedbdf4c19dc1,zone-1,50.2,22.3,15.0,15.0,33.6,52.4,28.0,5.3,False,none,2026-01-06T23:31:29.256000
695d9b56199cedbdf4c19dc2,zone-1,44.5,21.3,15.0,15.0,33.1,52.2,19.0,11.8,False,none,2026-01-06T23:31:34.311000
695d9b5b199cedbdf4c19dc3,zone-1,40.0,19.0,15.0,15.0,32.9,52.1,28.0,5.5,False,none,2026-01-06T23:31:39.373000
695d9b60199cedbdf4c19dc4,zone-1,35.7,20.9,15.0,15.0,32.4,51.9,16.0,8.7,False,none,2026-01-06T23:31:44.422000
695d9b65199cedbdf4c19dc5,zone-1,38.9,22.2,15.0,15.0,31.9,51.6,25.0,12.5,False,none,2026-01-06T23:31:49.485000
695d9b6a199cedbdf4c19dc6,zone-1,45.8,22.5,15.0,15.0,31.5,51.3,41.0,12.5,False,none,2026-01-06T23:31:54.542000
695d9b6f199cedbdf4c19dc7,zone-1,48.4,24.3,15.0,15.0,30.8,50.9,15.0,12.5,False,none,2026-01-06T23:31:59.597000
695d9d67d135c4c10bf918d6,zone-1,38.5,25.2,57.4,57.4,66.1,72.6,17508.0,12.7,False,none,2026-01-06T23:40:23.846000
695d9d6cd135c4c10bf918d7,zone-1,50.3,27.3,53.3,53.3,63.8,71.2,42568.0,11.1,False,none,2026-01-06T23:40:28.881000
695d9d71d135c4c10bf918d8,zone-1,48.9,29.3,46.0,46.0,60.6,69.4,63420.0,9.7,False,none,2026-01-06T23:40:33.911000
695d9d76d135c4c10bf918d9,zone-1,39.2,31.0,38.6,38.6,57.0,66.7,79968.0,12.7,False,none,2026-01-06T23:40:38.923000
